product_id,name,category,brand,price,rating,weight,is_prime,stock_quantity
1e9e8ef04dbcff4541ed26657ea517e5,perfumery Item,perfumery,Olist,10.91,5.0,0.225,0,282
3aa071139cb16b67ca9e5dea641aaa2f,art Item,art,Olist,248.0,5.0,1.0,0,978
96bd76ec8810374ed1b65e291975717f,sports_leisure Item,sports_leisure,Olist,79.8,5.0,0.154,0,784
cef67bcfe19066a932b7673e239eb23d,baby Item,baby,Olist,112.3,1.0,0.371,0,196
9dc1a7de274444849c219cff195d0b71,housewares Item,housewares,Olist,37.9,5.0,0.625,0,500
41d3672d4792049fa1779bb35283ed13,musical_instruments Item,musical_instruments,Olist,45.87,5.0,0.2,0,583
732bd381ad09e530fe0a5f457d81becb,cool_stuff Item,cool_stuff,Olist,963.0,3.5,18.35,0,705
2548af3e6e77a690cf3eb6368e9ab61e,furniture_decor Item,furniture_decor,Olist,9.99,1.4444444444444444,0.9,0,829
37cc742be07708b53a98702e77a21a02,home_appliances Item,home_appliances,Olist,10.4,1.0,0.4,0,896
8c92109888e8cdf9d66dc7e463025574,toys Item,toys,Olist,82.9,4.0,0.6,0,572
14aa47b7fe5c25522b47b4b29c98dcb9,bed_bath_table Item,bed_bath_table,Olist,71.99,5.0,1.1,0,670
03b63c5fc16691530586ae020c345514,baby Item,baby,Olist,239.0,4.5,7.15,0,28
cf55509ea8edaaac1d28fdb16e48fc22,musical_instruments Item,musical_instruments,Olist,207.25,5.0,0.25,0,206
7bb6f29c2be57716194f96496660c7c2,furniture_decor Item,furniture_decor,Olist,59.9,3.0,0.6,0,600
eb31436580a610f202c859463d8c7415,construction_tools_safety Item,construction_tools_safety,Olist,226.18,3.0,0.2,0,228
3bb7f144022e6732727d8d838a7b13b3,sports_leisure Item,sports_leisure,Olist,26.7,5.0,0.8,0,643
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery Item,perfumery,Olist,16.9,3.5,0.4,0,483
a1b71017a84f92fd8da4aeefba108a24,computers_accessories Item,computers_accessories,Olist,69.9,5.0,0.9,0,579
a0736b92e52f6cead290e30b578413b6,furniture_decor Item,furniture_decor,Olist,49.7,4.5,1.7,0,912
f53103a77d9cf245e579ea37e5ec51f0,bed_bath_table Item,bed_bath_table,Olist,41.99,5.0,0.5,0,187
1c1890ba1779090cd54008a3c3302921,furniture_decor Item,furniture_decor,Olist,111.90000000000002,3.3333333333333335,2.55,0,177
518ef5de2c2b3a255e326a4594ba15d9,bed_bath_table Item,bed_bath_table,Olist,145.0,4.0,0.8,0,764
e3e020af31d4d89d2602272b315c3f6e,health_beauty Item,health_beauty,Olist,29.9,4.0,0.075,0,264
8b41fbc2b984a12030090112324d1bc4,baby Item,baby,Olist,48.9,5.0,0.5,0,801
d03bd02af9fff4b98f1c972315e5e9ef,furniture_decor Item,furniture_decor,Olist,78.78888888888889,4.875,1.8,0,515
8ba4f2a4ae695d26e5626c1bf710975e,housewares Item,housewares,Olist,69.9,5.0,0.9,0,522
f6574524b07d5bb753bab6f35abe2d06,luggage_accessories Item,luggage_accessories,Olist,349.9,1.0,3.6,0,948
c78b767da00efb70c1bcccab87c28cd5,computers_accessories Item,computers_accessories,Olist,36.5,4.0,0.3,0,285
a0253d43394dd4da9a5d7b1f546f1a32,computers_accessories Item,computers_accessories,Olist,208.0,5.0,0.74,0,311
051b9ff13dd55c0a6655a15ff296f80d,sports_leisure Item,sports_leisure,Olist,285.0,5.0,3.6,0,452
47859fca9dd7485cbd93c3e8993bb74f,bed_bath_table Item,bed_bath_table,Olist,41.99,4.0,0.65,0,348
e1d1d22e9f8122a4ec1533b032c12562,garden_tools Item,garden_tools,Olist,199.0,1.0,2.15,0,396
20e37962088a4061d3578def47a8648b,furniture_decor Item,furniture_decor,Olist,64.9,5.0,0.8,0,377
1eba879220bd0981a0e2fbab499ed4e1,office_furniture Item,office_furniture,Olist,83.74,2.25,8.95,0,698
ce5b91848b91118daffb3af53b747475,sports_leisure Item,sports_leisure,Olist,19.9,5.0,1.388,0,997
5370b82a213393979691c98074265584,baby Item,baby,Olist,103.37,3.6666666666666665,7.95,0,245
b8dac5113b06a97e64943234522572b9,auto Item,auto,Olist,115.0,4.0,6.0,0,337
750cf819d127191920eda79a4b6fb479,electronics Item,electronics,Olist,24.0,4.0,0.263,0,335
e6af694343b45b56304ad91974a110b9,housewares Item,housewares,Olist,79.99,1.0,3.9,0,348
680874c570dad71c0a2844cfbf417054,furniture_decor Item,furniture_decor,Olist,39.0,1.875,0.6,0,547
8b3a9476f74f5297f7ff0ec6d95fe1ea,furniture_decor Item,furniture_decor,Olist,139.9,3.0,2.05,0,135
1c6fb703c624b381a20f21f757694866,toys Item,toys,Olist,97.14,5.0,0.725,0,575
db46052aed7dff59ba38cf2fe29b87f9,bed_bath_table Item,bed_bath_table,Olist,107.6,4.0,6.35,0,204
b864b103180d5a6a3f830e67f93e8735,baby Item,baby,Olist,83.9,5.0,0.6,0,255
7a8dac4aaa16bc642e4df33adcf03303,cool_stuff Item,cool_stuff,Olist,469.99,4.5,11.75,0,678
83b9bc6aae6f527ff6aafb9e01d6cbf3,toys Item,toys,Olist,129.99,5.0,2.55,0,463
